Feature,Importance
MonthlyIncome,0.07821164913455665
OverTime,0.06666900639310103
Age,0.061569311592203406
DailyRate,0.05408678267115674
TotalWorkingYears,0.05249111676806455
MonthlyRate,0.04837339579386637
HourlyRate,0.047369415110171974
DistanceFromHome,0.04599889871103662
YearsAtCompany,0.04134737471674748
NumCompaniesWorked,0.037951343119045466
PercentSalaryHike,0.03445207033921353
JobRole,0.03139227065792731
YearsWithCurrManager,0.03078110518416912
MaritalStatus,0.029536810402785163
StockOptionLevel,0.029337726660042248
YearsInCurrentRole,0.029010396042552695
YearsSinceLastPromotion,0.027737977402784476
JobSatisfaction,0.027424813957355725
EnvironmentSatisfaction,0.02616170825490388
JobLevel,0.025209618826907226
TrainingTimesLastYear,0.024952381261559325
EducationField,0.023471329788786414
JobInvolvement,0.023457593653234028
RelationshipSatisfaction,0.023139794932152322
WorkLifeBalance,0.020907864917360235
Education,0.019434360966719536
BusinessTravel,0.013048533842632246
Department,0.012776826983286386
Gender,0.009395107270321616
PerformanceRating,0.004303414645356151
